SampleID,PCRp_conc ,Sample_type,environment,Genus,Species,Sex,Instar,Primary_ blood_meal,Diet,Country,State,Location,Nest,Sampling_date,Coordinates_North,Cooredinated_West
TU5Ti8,46,Tick,No,Ornithodoros,turicata,ND,2,ND,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
TU68i2D2,28,Triatoma,No,Triatoma,rubida,ND,2,ND,blood,US,AZ,DS,N8,11.07.2018,N32.25219,W111.08791
TU76A,36,Triatoma,No,Triatoma,rubida,ND,4,Neotoma,blood,US,AZ,DS,N12,12.07.2018,N32.252297,W111.08656
TU76B,34,Triatoma,No,Triatoma,rubida,ND,4,Neotoma,blood,US,AZ,DS,N12,12.07.2018,N32.252297,W111.08656
TU77A,33,Triatoma,No,Triatoma,rubida,ND,3,Neotoma,blood,US,AZ,DS,N12,12.07.2018,N32.252297,W111.08656
TU77B,52,Triatoma,No,Triatoma,rubida,ND,3,Neotoma,blood,US,AZ,DS,N12,12.07.2018,N32.252297,W111.08656
TU82A,32,Triatoma,No,Triatoma,rubida,ND,4,Neotoma,blood,US,AZ,DS,N13,12.07.2018,N32.252297,W111.08655
TU82B,40,Triatoma,No,Triatoma,rubida,ND,4,ND,blood,US,AZ,DS,N13,12.07.2018,N32.252297,W111.08655
TU6Ti1,34,Tick,No,Ornithodoros,turicata,ND,5,ND,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
TU6Ti2,27,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
TU6Ti3,21,Tick,No,Ornithodoros,turicata,ND,3,ND,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
TU6Ti4,23,Tick,No,Ornithodoros,turicata,ND,2,ND,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
TU83B,28,Triatoma,No,Triatoma,rubida,ND,3,Neotoma,blood,US,AZ,DS,N13,12.07.2018,N32.252297,W111.08655
TU83C,33,Triatoma,No,Triatoma,rubida,ND,3,Neotoma,blood,US,AZ,DS,N13,12.07.2018,N32.252297,W111.08655
412I6M,55,Triatoma,No,Triatoma,sanguisuga,M,6,Dasypus,blood,US,TX,LacklandAFB,N41,21.05.2021,N29.37728,W98.68699
FLTS115,41,Triatoma,No,Triatoma,sanguisuga,ND,5,ND,blood,US,FL,Gainesville,N2,08.07.2021,N32.25675,W111.08752
TU7Ti2,20,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N8,11.07.2018,N32.25219,W111.08791
TU7Ti3,20,Tick,No,Ornithodoros,turicata,ND,4,Myotis,blood,US,AZ,DS,N8,11.07.2018,N32.25219,W111.08791
TU7Ti4,20,Tick,No,Ornithodoros,turicata,ND,3,ND,blood,US,AZ,DS,N8,11.07.2018,N32.25219,W111.08791
FLTS116,32,Triatoma,No,Triatoma,sanguisuga,ND,5,ND,blood,US,FL,Gainesville,N2,08.07.2021,N32.25242,W111.08688
FLTS117,40,Triatoma,No,Triatoma,sanguisuga,ND,5,ND,blood,US,FL,Gainesville,N2,08.07.2021,N32.25242,W111.08688
FLTS118,25,Triatoma,No,Triatoma,sanguisuga,ND,5,ND,blood,US,FL,Gainesville,N2,08.07.2021,N32.25242,W111.08688
FLTS119,29,Triatoma,No,Triatoma,sanguisuga,ND,5,Dasypus,blood,US,FL,Gainesville,N2,08.07.2021,N32.25242,W111.08688
TU9Ti1,23,Tick,No,Ornithodoros,turicata,ND,5,ND,blood,US,AZ,DS,N12,12.07.2018,N32.252297,W111.08656
TU9Ti2,50,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N12,12.07.2018,N32.252297,W111.08656
TU9Ti3,47,Tick,No,Ornithodoros,turicata,ND,3,ND,blood,US,AZ,DS,N12,12.07.2018,N32.252297,W111.08656
TU9Ti4,22,Tick,No,Ornithodoros,turicata,ND,2,ND,blood,US,AZ,DS,N12,12.07.2018,N32.252297,W111.08656
34NM,21,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,TX,CampBullis,3-4,20.5.2021,29.67709N,98.60552W
31NM,22,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,TX,CampBullis,3-1,20.5.2021,29.68213N,98.60730W
P1E2,25,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,FL,Gainesville,S1,3.7.2021,ND,ND
12NM,29,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,TX,LacklandAFB,1-2,18.5.2021,29.37448N,98.68493W
21NM,29,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,TX,LacklandAFB,2-1,19.5.2021,29.36851N,96.68232W
13NM,34,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,TX,LacklandAFB,1-3,18.5.2021,29.36860N,98.68303W
15NM,38,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,TX,LacklandAFB,1-5,18.5.2021,29.36874N,98.68299W
23NM,41,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,TX,LacklandAFB,2-3,19.5.2021,29.37669N,98.68399W
58MetOH,42,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,FL,Gainesville,N2,8.7.2021,29.6214278N,82.29786W
22NM,42,nest material,Yes,ND,ND,ND,ND,ND,ND,US,TX,LacklandAFB,2-2,19.5.2021,29.36855N,98.68212W
41NM,43,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,TX,LacklandAFB,N41,21.5.2021,29.37728N,98.68699W
14NM,45,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,TX,LacklandAFB,1-4,18.5.2021,29.36858N,98.68296W
33NM,45,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,TX,CampBullis,3-3,20.5.2021,29.67702N,98.60730W
M1E,45,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,FL,Gainesville,S1,3.7.2021,ND,ND
32NM,46,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,TX,CampBullis,3-2,20.5.2021,29.68281N,98.60757W
